label,t_host_s,seq,rms,mad,peak,zcr,crest,mean,band0,band1,band2,band3,centroid,peakfreq,axis
rest_baseline,0.0202,1098,16,12,51,21,318,16368,94,44,18,8,1309,61,z
rest_baseline,0.0600,1099,13,10,33,30,253,16359,62,47,15,8,1561,61,z
rest_baseline,0.1009,1100,11,9,30,41,272,16362,57,43,14,8,1646,61,z
rest_baseline,0.1416,1101,12,9,29,8,241,16363,52,40,12,8,1586,61,z
rest_baseline,0.1827,1102,13,10,37,22,284,16367,60,47,13,7,1473,61,z
rest_baseline,0.2236,1103,15,13,37,26,246,16367,67,53,15,8,1465,61,z
rest_baseline,0.2646,1104,11,9,32,35,290,16366,58,43,14,9,1600,244,z
rest_baseline,0.3055,1105,12,9,38,34,316,16366,52,45,18,8,1718,671,z
rest_baseline,0.3465,1106,13,10,35,24,269,16369,70,47,18,8,1560,61,z
rest_baseline,0.3873,1107,11,9,34,20,309,16365,55,41,14,9,1589,61,z
rest_baseline,0.4284,1108,14,12,41,17,292,16361,68,36,18,10,1589,61,z
rest_baseline,0.4692,1109,18,14,65,19,361,16356,65,27,17,7,1506,61,z
rest_baseline,0.5101,1110,13,10,37,11,284,16360,74,46,16,9,1535,61,z
rest_baseline,0.5509,1111,19,16,49,4,257,16358,67,46,13,9,1485,61,z
rest_baseline,0.5920,1112,14,11,44,30,314,16367,71,45,16,8,1463,61,z
rest_baseline,0.6329,1113,11,9,30,36,272,16369,55,45,17,8,1671,244,z
rest_baseline,0.6739,1114,16,14,55,22,343,16367,84,31,14,10,1426,61,z
rest_baseline,0.7146,1115,15,12,41,8,273,16358,85,30,16,9,1378,61,z
rest_baseline,0.7556,1116,18,15,58,17,322,16349,76,41,11,9,1335,61,z
rest_baseline,0.7965,1117,23,19,54,9,234,16360,71,44,15,10,1495,61,z
rest_baseline,0.8375,1118,16,13,48,25,300,16357,77,38,16,9,1461,61,z
rest_baseline,0.8784,1119,15,12,37,17,246,16360,68,45,15,7,1454,61,z
rest_baseline,0.9194,1120,14,11,36,23,257,16356,69,41,15,8,1456,61,z
rest_baseline,0.9603,1121,11,9,29,34,263,16356,53,33,15,10,1780,854,z
rest_baseline,1.0011,1122,10,8,25,34,250,16357,48,37,11,8,1656,671,z
rest_baseline,1.0421,1123,22,18,60,15,272,16359,101,45,15,8,1227,61,z
rest_baseline,1.0830,1124,29,24,64,3,220,16346,146,34,15,8,1003,61,z
rest_baseline,1.1239,1125,18,15,44,16,244,16343,82,38,17,9,1457,61,z
rest_baseline,1.1649,1126,25,21,64,22,256,16350,131,65,13,7,1108,61,z
rest_baseline,1.2058,1127,18,15,43,16,238,16344,93,47,15,8,1284,61,z
rest_baseline,1.2466,1128,18,15,50,20,277,16349,72,52,14,8,1415,61,z
rest_baseline,1.2875,1129,11,9,31,36,281,16356,61,35,15,8,1544,183,z
rest_baseline,1.3286,1130,13,11,37,23,284,16355,71,44,14,9,1496,366,z
rest_baseline,1.3694,1131,17,15,42,3,247,16351,82,37,15,8,1403,61,z
rest_baseline,1.4102,1132,20,16,46,8,230,16353,91,37,15,8,1298,61,z
rest_baseline,1.4513,1133,13,10,34,22,261,16350,71,40,14,9,1463,61,z
rest_baseline,1.4923,1134,13,11,35,34,269,16344,67,44,12,8,1482,183,z
rest_baseline,1.5330,1135,11,8,33,32,300,16349,66,35,17,9,1574,122,z
rest_baseline,1.5740,1136,13,11,36,28,276,16350,66,46,13,7,1454,61,z
rest_baseline,1.6150,1137,13,10,36,10,276,16351,72,47,14,9,1470,122,z
rest_baseline,1.6559,1138,15,12,38,24,253,16350,56,57,18,8,1573,61,z
rest_baseline,1.6968,1139,11,8,44,22,400,16355,73,35,15,9,1536,366,z
rest_baseline,1.7376,1140,12,9,37,29,308,16357,65,48,15,8,1459,366,z
rest_baseline,1.7786,1141,13,10,33,27,253,16359,60,40,16,8,1573,366,z
rest_baseline,1.8195,1142,14,11,45,34,321,16357,76,59,18,8,1495,61,z
rest_baseline,1.8604,1143,16,14,34,13,212,16353,87,39,13,7,1227,61,z
rest_baseline,1.9015,1144,13,10,38,25,292,16350,66,42,12,7,1458,305,z
rest_baseline,1.9423,1145,9,7,23,35,255,16349,46,38,13,10,1772,732,z
rest_baseline,1.9833,1146,13,10,38,32,292,16347,74,50,15,9,1465,610,z
rest_baseline,2.0240,1147,14,11,35,6,250,16351,65,44,15,8,1500,61,z
rest_baseline,2.0650,1148,11,8,33,33,300,16352,56,40,17,8,1634,61,z
rest_baseline,2.1060,1149,13,10,34,18,261,16353,66,57,15,8,1508,61,z
rest_baseline,2.1468,1150,22,18,56,8,254,16355,68,48,15,9,1429,61,z
rest_baseline,2.1878,1151,23,18,69,16,300,16350,79,43,14,6,1280,61,z
rest_baseline,2.2288,1152,10,8,33,37,330,16347,57,44,15,9,1693,305,z
rest_baseline,2.2695,1153,17,14,41,5,241,16346,62,46,17,8,1561,61,z
rest_baseline,2.3105,1154,19,17,42,9,221,16348,67,41,13,8,1398,61,z
rest_baseline,2.3515,1155,13,11,35,28,269,16356,69,38,13,8,1449,61,z
rest_baseline,2.3924,1156,26,22,56,4,215,16355,112,41,15,8,1115,61,z
rest_baseline,2.4333,1157,11,9,36,11,327,16351,45,38,16,10,1789,61,z
rest_baseline,2.4743,1158,16,13,51,14,318,16348,91,41,13,8,1263,61,z
rest_baseline,2.5153,1159,14,12,47,23,335,16344,84,34,12,9,1368,244,z
rest_baseline,2.5560,1160,20,17,58,7,290,16346,97,49,15,7,1233,61,z
rest_baseline,2.5969,1161,13,10,32,5,246,16346,66,34,16,9,1547,61,z
rest_baseline,2.6379,1162,22,19,51,6,231,16348,74,46,13,9,1389,61,z
rest_baseline,2.6789,1163,13,11,33,24,253,16342,66,49,13,8,1475,366,z
rest_baseline,2.7198,1164,13,11,29,5,223,16338,67,37,12,10,1512,61,z
rest_baseline,2.7606,1165,21,17,51,7,242,16343,84,45,14,7,1372,61,z
rest_baseline,2.8015,1166,16,13,36,14,225,16357,66,34,14,8,1457,61,z
rest_baseline,2.8426,1167,12,10,32,17,266,16355,69,37,13,6,1357,122,z
rest_baseline,2.8835,1168,13,11,31,23,238,16352,63,41,13,10,1560,61,z
rest_baseline,2.9243,1169,17,14,42,3,247,16351,83,29,14,9,1362,61,z
rest_baseline,2.9651,1170,13,10,39,3,300,16346,54,32,16,7,1633,61,z
rest_baseline,3.0063,1171,12,10,33,30,275,16342,51,44,14,6,1540,488,z
rest_baseline,3.0470,1172,12,9,36,26,300,16344,52,33,20,9,1779,61,z
rest_baseline,3.0880,1173,14,11,43,22,307,16333,66,45,17,7,1480,61,z
rest_baseline,3.1290,1174,17,14,47,27,276,16344,69,46,14,9,1490,61,z
rest_baseline,3.1699,1175,15,12,34,15,226,16353,55,47,14,9,1612,61,z
rest_baseline,3.2108,1176,12,10,35,27,291,16350,74,32,15,9,1466,61,z
